"ori","dest","amount"
"36101","36111",4
"36101","36117",35
"36101","36119",14
"36101","36121",22
"36101","36123",488
"36103","36001",125
"36103","36005",3335
"36103","36007",125
"36103","36013",30
"36103","36015",14
"36103","36023",15
"36103","36025",20
"36103","36027",75
"36103","36029",74
"36103","36047",10187
"36103","36051",25
"36103","36053",20
"36103","36055",30
"36103","36059",86812
"36103","36061",40005
"36103","36065",24
"36103","36067",60
"36103","36069",15
"36103","36071",95
"36103","36079",64
"36103","36081",24923
"36103","36083",64
"36103","36085",694
"36103","36087",55
"36103","36089",20
"36103","36091",10
"36103","36093",20
"36103","36107",14
"36103","36109",30
"36103","36111",103
"36103","36117",40
"36103","36119",1339
"36105","36001",47
"36105","36005",142
"36105","36007",40
"36105","36025",15
"36105","36027",142
"36105","36037",25
"36105","36047",70
"36105","36053",20
"36105","36059",48
"36105","36061",734
"36105","36067",10
"36105","36071",5389
"36105","36079",54
"36105","36081",182
"36105","36087",340
"36105","36097",10
"36105","36099",4
"36105","36103",10
"36105","36111",888
"36105","36119",247
"36107","36001",39
"36107","36007",7015
"36107","36011",82
"36107","36015",920
"36107","36017",10
"36107","36023",149
"36107","36025",10
"36107","36027",25
"36107","36029",14
"36107","36039",15
"36107","36047",10
"36107","36055",4
"36107","36059",10
"36107","36061",4
"36107","36065",15
"36107","36067",111
"36107","36075",4
"36107","36079",10
"36107","36081",10
"36107","36093",15
"36107","36097",29
"36107","36099",53
"36107","36101",54
"36107","36109",2827
"36107","36123",10
"36109","36001",24
"36109","36007",210
"36109","36011",446
"36109","36013",10
"36109","36015",229
"36109","36017",20
"36109","36021",10
"36109","36023",1590
"36109","36025",10
"36109","36029",20
"36109","36053",10
"36109","36055",108
"36109","36059",25
"36109","36061",75
"36109","36065",15
"36109","36067",329
"36109","36069",43
"36109","36071",20
"36109","36081",14
"36109","36083",4
"36109","36097",214
"36109","36099",191
"36109","36101",50
"36109","36103",15
"36109","36107",309
"36109","36117",10
"36109","36119",4
"36109","36123",35
"36111","36001",556
"36111","36005",180
"36111","36021",157
"36111","36025",19
"36111","36027",9864
"36111","36029",20
"36111","36039",225
"36111","36047",237
"36111","36051",10
"36111","36055",45
"36111","36059",85
"36111","36061",2082
"36111","36065",30
"36111","36067",15
"36111","36071",9644
"36111","36079",255
"36111","36081",230
"36111","36083",69
"36111","36085",25
"36111","36087",545
"36111","36091",34
"36111","36093",31
"36111","36103",154
"36111","36105",175
"36111","36115",35
"36111","36119",1436
"36113","36001",1085
"36113","36019",4
"36113","36023",8
"36113","36027",4
"36113","36029",25
"36113","36031",30
"36113","36035",20
"36113","36047",4
"36113","36055",14
"36113","36059",33
"36113","36061",52
"36113","36065",4
"36113","36067",8
"36113","36069",4
"36113","36081",4
"36113","36083",76
"36113","36087",55
"36113","36091",3919
"36113","36093",197
"36113","36111",28
"36113","36115",1899
"36113","36119",22
"36115","36001",1459
"36115","36007",8
"36115","36019",15
"36115","36027",41
"36115","36029",10
"36115","36031",30
"36115","36033",4
"36115","36047",14
"36115","36059",4
