"USPS","geoid","pop2019est"
"MT","30087",8937
"IA","19133",8615
"MT","30001",9453
"VA","51159",9023
"GA","13315",8635
"ID","16009",9298
"IA","19039",9395
"MO","29033",8679
"MT","30023",9140
"WI","55041",9004
"GA","13273",8531
"KY","21055",8806
"IA","19073",8888
"MS","28053",8064
"WV","54015",8508
"TX","48335",8545
"KS","20205",8525
"IA","19147",8886
"OK","40085",10253
"MO","29025",9020
"GA","13141",8457
"AK","02185",9832
"MN","27089",9336
"OK","40075",8708
"UT","49029",12124
"AR","05097",8986
"AK","02180",10004
"KY","21139",9194
"KY","21149",9207
"KS","20029",8786
"GA","13155",9416
"GA","13319",8954
"IA","19089",9158
"NE","31179",9385
"MN","27117",9126
"MI","26003",9108
"MS","28021",8988
"SD","46121",10177
"MO","29085",9544
"TX","48429",9366
"AK","02261",9202
"KS","20107",9703
"KS","20151",9164
"IA","19025",9668
"CA","06049",8841
"MN","27133",9315
"IL","17079",9610
"MO","29153",9174
"MN","27149",9805
"MT","30083",10803
"MI","26119",9328
"MN","27151",9266
"MO","29185",9397
"IA","19091",9558
"ID","16085",11392
"MS","28157",8630
"GA","13167",9643
"NC","37029",10867
"KS","20013",9564
"TX","48127",10124
"NE","31033",8910
"NV","32033",9580
"CO","08125",10019
"VA","51049",9932
"GA","13173",10423
"MT","30009",10725
"KS","20159",9537
"KY","21169",10071
"SD","46019",10429
"KS","20117",9707
"LA","22021",9918
"MO","29089",10001
"SD","46109",10394
"NC","37103",9419
"MO","29173",10309
"ID","16081",12142
"MA","25019",11399
"KS","20131",10231
"ID","16087",10194
"MO","29111",9776
"TX","48357",9836
"SC","45065",9463
"UT","49023",12017
"WY","56035",9831
"MS","28155",9689
"MO","29079",9850
"MN","27063",9846
"TX","48369",9605
"KY","21053",10218
"IA","19063",9208
"IN","18101",10255
"IA","19161",9721
"LA","22025",9494
"SC","45005",8688
"AR","05077",8857
"MT","30085",11004
"NE","31089",10067
"MN","27173",9709
"AR","05105",10455
"WV","54085",9554
"MS","28069",9742
"GA","13281",12037
"TX","48031",11931
"TX","48399",10264
"IA","19107",10246
"NE","31037",10709
"OK","40105",10076
"TX","48315",9854
"WA","53043",10939
"NC","37043",11231
"AL","01105",8923
"GA","13317",9777
"MS","28015",9947
"TX","48159",10725
"IN","18155",10751
"MO","29093",10125
"TX","48475",11998
"IA","19069",10070
"IN","18025",10577
"IA","19137",9917
"TX","48077",10471
"IA","19131",10586
"MS","28143",9632
"KY","21041",10631
"TX","48403",10542
"KY","21187",10901
"IA","19189",10354
"MN","27075",10641
"MO","29149",10529
"AL","01011",10101
"TX","48379",12514
"MS","28097",9775
"NE","31041",10777
"MI","26001",10405
"IA","19077",10689
"OK","40069",11085
"VA","51119",10582
"KY","21171",10650
"ID","16021",12245
"UT","49015",10012
"MN","27121",11249
"GA","13043",10803
"GA","13109",10654
"GA","13099",10190
"IL","17035",10766
"NE","31145",10724
"ND","38003",10415
"WA","53059",12083
"GA","13005",11164
"MI","26097",10799
"ND","38099",10641
"VA","51057",10953
"OK","40077",10073
"NC","37005",11137
"OR","41049",11603
"SD","46079",12797
"LA","22091",10132
"MN","27165",10897
"AR","05127",10281
"KY","21087",10941
"GA","13053",10907
"AR","05109",10718
"AL","01085",9726
"NE","31013",10783
"KY","21131",9877
"IA","19081",10630
"IA","19115",11035
"VA","51103",10603
"MT","30043",12221
"MT","30089",12113
"ND","38071",11519
"AR","05011",10763
"ID","16073",11823
"TX","48297",12207
"AL","01037",10663
"MI","26085",11853
"MS","28103",10417
"FL","12037",12125
"OK","40103",11131
"OK","40127",11096
"IA","19119",11755
"MT","30027",11050
"KY","21011",12500
"LA","22123",10830
"OK","40149",10916
"TN","47087",11786
"WY","56003",11790
"AL","01131",10373
"TX","48507",11840
"MN","27033",11196
"MT","30017",11402
"KY","21229",12095
"TN","47121",12422
"TN","47039",11663
"TX","48131",11157
"AR","05017",10118
"MI","26071",11066
"GA","13149",11923
"WV","54023",11568
"OK","40011",9429
"IL","17185",11520
"CO","08105",11267
"NM","35051",10791
"GA","13235",11137
"IA","19035",11235
"CO","08007",14029
"VA","51183",11159
"LA","22065",10951
"VA","51735",12271
"KY","21061",12150
"TN","47101",12268
"IA","19165",11454
"GA","13049",13392
"OK","40107",11993
"NC","37073",11562
"MO","29123",12088
"MO","29139",11551
"VA","51081",11336
"AR","05049",12477
