ori,dest,amount
55073,55111,22
55073,55115,1444
55073,55117,22
55073,55119,1010
55073,55121,16
55073,55123,8
55073,55125,80
55073,55127,6
55073,55131,80
55073,55133,104
55073,55135,110
55073,55137,18
55073,55139,106
55073,55141,8892
55075,55001,18
55075,55009,1698
55075,55015,28
55075,55025,62
55075,55027,6
55075,55029,4
55075,55037,98
55075,55039,22
55075,55041,104
55075,55059,6
55075,55061,14
55075,55071,32
55075,55073,70
55075,55078,12
55075,55079,4
55075,55083,1490
55075,55085,18
55075,55087,162
55075,55097,6
55075,55101,30
55075,55107,12
55075,55111,6
55075,55115,14
55075,55117,46
55075,55125,8
55075,55133,26
55075,55135,14
55075,55139,38
55075,55141,6
55077,55001,394
55077,55009,12
55077,55021,2768
55077,55025,1084
55077,55027,130
55077,55035,36
55077,55039,320
55077,55045,6
55077,55047,538
55077,55055,20
55077,55057,22
55077,55063,4
55077,55067,2
55077,55073,12
55077,55079,120
55077,55085,10
55077,55087,6
55077,55089,6
55077,55097,52
55077,55105,32
55077,55109,2
55077,55111,706
55077,55113,6
55077,55117,22
55077,55131,30
55077,55133,94
55077,55135,38
55077,55137,480
55077,55139,170
55077,55141,12
55078,55009,66
55078,55083,38
55078,55087,6
55078,55115,316
55078,55135,52
55078,55139,8
55079,55005,22
55079,55009,384
55079,55013,16
55079,55015,152
55079,55021,132
55079,55025,1756
55079,55027,688
55079,55029,80
55079,55033,10
55079,55035,38
55079,55039,280
55079,55041,8
55079,55043,36
55079,55045,62
55079,55047,38
55079,55049,34
55079,55053,14
55079,55055,500
55079,55057,48
55079,55059,3418
55079,55061,60
55079,55063,26
55079,55071,108
55079,55073,78
55079,55075,88
55079,55077,54
55079,55078,122
55079,55081,18
55079,55087,152
55079,55089,15116
55079,55095,12
55079,55097,36
55079,55101,9584
55079,55105,74
55079,55107,26
55079,55109,46
55079,55111,106
55079,55115,74
55079,55117,1094
55079,55121,10
55079,55125,16
55079,55127,1062
55079,55129,44
55079,55131,9526
55079,55133,120706
55079,55137,8
55079,55139,294
55081,55005,8
55081,55009,8
55081,55015,2
55081,55017,8
55081,55019,10
55081,55023,14
55081,55025,70
55081,55027,18
55081,55035,42
55081,55043,4
55081,55053,756
55081,55055,4
55081,55057,1752
55081,55059,6
55081,55063,4510
55081,55069,26
55081,55071,4
55081,55073,4
55081,55079,14
55081,55091,10
55081,55093,8
55081,55097,24
55081,55101,8
55081,55103,12
55081,55105,4
55081,55109,2
55081,55111,202
55081,55119,12
55081,55121,68
55081,55123,980
55081,55125,6
55081,55131,10
55081,55133,14
55081,55141,52
55083,55001,18
55083,55009,15496
55083,55015,56
55083,55017,14
55083,55025,16
55083,55027,18
55083,55029,32
55083,55031,8
55083,55039,62
55083,55041,374
55083,55061,6
55083,55063,4
55083,55067,96
55083,55071,60
55083,55073,36
55083,55075,1916
55083,55078,178
55083,55079,22
55083,55087,614
55083,55089,42
55083,55097,16
55083,55099,4
55083,55101,10
55083,55115,1306
55083,55117,48
55083,55127,4
55083,55131,22
55083,55133,32
55083,55135,64
55083,55139,190
55085,55003,2
55085,55009,42
55085,55015,4
55085,55025,42
55085,55031,2
55085,55033,8
55085,55035,4
55085,55037,10
55085,55041,230
55085,55043,56
55085,55051,16
55085,55067,236
55085,55069,1986
55085,55073,452
55085,55079,52
55085,55083,46
55085,55087,8
55085,55089,6
55085,55097,40
55085,55099,150
55085,55105,12
55085,55107,12
55085,55111,4
55085,55117,34
55085,55119,42
55085,55121,22
55085,55123,4
55085,55125,2488
55085,55129,6
55085,55131,8
55085,55133,18
55085,55135,6
55085,55139,50
55085,55141,70
55087,55009,15900
55087,55015,4760
55087,55017,8
55087,55019,44
55087,55025,466
55087,55027,106
55087,55029,30
55087,55039,728
55087,55043,4
55087,55047,86
55087,55055,16
55087,55059,24
55087,55061,20
55087,55063,8
55087,55067,26
55087,55069,76
55087,55071,328
55087,55073,6
55087,55075,78
55087,55077,20
55087,55078,20
55087,55079,360
55087,55081,74
55087,55083,58
55087,55085,32
55087,55089,14
55087,55097,92
55087,55101,32
55087,55107,4
55087,55113,4
55087,55115,394
55087,55117,142
55087,55125,4
55087,55127,16
55087,55131,106
55087,55133,126
55087,55135,3676
55087,55137,138
55087,55139,35536
55087,55141,156
55089,55009,108
55089,55025,278
55089,55027,228
55089,55029,34
55089,55039,166
55089,55055,26
55089,55059,72
55089,55061,6
55089,55071,190
55089,55079,28358
55089,55087,14
55089,55097,74
55089,55101,236
55089,55117,2706
55089,55127,32
55089,55131,4768
55089,55133,6310
55089,55135,18
55089,55139,134
55091,55005,6
55091,55007,4
55091,55011,344
55091,55017,62
55091,55019,8
55091,55023,4
55091,55025,4
55091,55033,776
55091,55035,730
55091,55053,6
55091,55081,8
55091,55093,454
55091,55095,10
55091,55103,4
55091,55109,92
55091,55121,146
55093,55009,16
55093,55011,46
55093,55013,6
55093,55017,94
55093,55025,70
55093,55033,678
55093,55035,208
55093,55055,14
55093,55063,28
55093,55069,4
55093,55071,14
55093,55073,4
55093,55078,4
55093,55085,12
55093,55091,194
55093,55095,120
55093,55101,8
55093,55109,8868
55093,55127,4
55093,55137,2
55095,55005,1684
55095,55007,4
55095,55013,1020
55095,55021,4
55095,55025,6
